School Name, 2023 October K-5 enrollment
Adams ES, 317
Alki ES, 276
Arbor Heights ES, 482
Bagley ES, 345
Beacon Hill ES, 357
BF Day ES, 413
Blaine K-5, 294
Boren STEM K-5, 303
Broadview-Thomson K-5, 433
Bryant ES, 533
Cascadia, 455
Cedar Park ES, 235
Coe ES, 467
Concord ES, 271
Dearborn Park ES, 317
Decatur, 188
Dunlap ES, 226
Emerson ES, 314
Fairmount Park ES, 358
Gatewood ES, 385
Gatzert ES, 339
Genesee Hill ES, 480
Graham Hill ES, 248
Green Lake ES, 339
Greenwood ES, 343
Hawthorne ES, 392
Hay ES, 300
Hazel Wolf K-5, 473
Highland Park ES, 266
James Baldwin ES, 219
John Muir ES, 326
John Rogers ES*, 213
John Stanford Intl, 418
Kimball ES, 395
Lafayette ES, 500
Laurelhurst ES, 297
Lawton ES, 343
Leschi ES, 283
Licton Springs K-5, 59
Lowell ES, 370
Loyal Heights ES, 565
Madrona ES, 215
Magnolia ES, 326
Maple ES, 415
McDonald Intl, 475
McGilvra ES, 228
MLK ES, 252
Montlake ES*, 181
North Beach ES, 365
Olympic Hills ES, 459
Olympic View ES, 373
Orca K-5, 263
Pathfinder K-5, 304
Queen Anne, 201
Rainier View ES, 202
Rising Star ES, 300
Roxhill ES, 238
Sacajawea ES, 210
Salmon Bay K-5, 308
Sand Point ES, 194
Sanislo ES, 173
South Shore K-5, 341
Stevens ES, 159
Thornton Creek, 419
Thurgood Marshall ES, 297
TOPS K-5, 297
View Ridge ES, 348
Viewland ES, 265
Wedgwood ES, 381
West Seattle ES, 354
West Woodland ES, 407
Whittier ES, 358
Wing Luke ES, 277
